Candidate, "Poll No.", Votes
Thavarajasoorier, 092A, , 31 , 1 65 , 14 , 3
Willert, 092A, , 31 , 1 65 , 14 , 3

Ashe, 092B, , 25 , 2 53 , 15 , 4
Carvalho, 092B, , 25 , 2 53 , 15 , 4
Dickson, 092B, , 25 , 2 53 , 15 , 4
Thavarajasoorier, 092B, , 25 , 2 53 , 15 , 4
Willert, 092B, , 25 , 2 53 , 15 , 4

Ashe, 093, , 108 , 1 122 , 16 , 20
Carvalho, 093, , 108 , 1 122 , 16 , 20
Dickson, 093, , 108 , 1 122 , 16 , 20
Thavarajasoorier, 093, , 108 , 1 122 , 16 , 20
Willert, 093, , 108 , 1 122 , 16 , 20

Ashe, 094, , 88 , 0 123 , 11 , 6
Carvalho, 094, , 88 , 0 123 , 11 , 6
Dickson, 094, , 88 , 0 123 , 11 , 6
Thavarajasoorier, 094, , 88 , 0 123 , 11 , 6
Willert, 094, , 88 , 0 123 , 11 , 6

Ashe, 095, , 70 , 2 104 , 9 , 13
Carvalho, 095, , 70 , 2 104 , 9 , 13
Dickson, 095, , 70 , 2 104 , 9 , 13
Thavarajasoorier, 095, , 70 , 2 104 , 9 , 13
Willert, 095, , 70 , 2 104 , 9 , 13

None, 096, "NO POLL HELD"

Ashe, 096-1s, , 11 , 4 20 , 10 , 5
Carvalho, 096-1s, , 11 , 4 20 , 10 , 5
Dickson, 096-1s, , 11 , 4 20 , 10 , 5
Thavarajasoorier, 096-1s, , 11 , 4 20 , 10 , 5
Willert, 096-1s, , 11 , 4 20 , 10 , 5

Ashe, 097, , 94 , 0 85 , 22 , 15
Carvalho, 097, , 94 , 0 85 , 22 , 15
Dickson, 097, , 94 , 0 85 , 22 , 15
Thavarajasoorier, 097, , 94 , 0 85 , 22 , 15
Willert, 097, , 94 , 0 85 , 22 , 15

Ashe, 098, , 51 , 2 77 , 12 , 14
Carvalho, 098, , 51 , 2 77 , 12 , 14
Dickson, 098, , 51 , 2 77 , 12 , 14
Thavarajasoorier, 098, , 51 , 2 77 , 12 , 14
Willert, 098, , 51 , 2 77 , 12 , 14

Ashe, 099, , 67 , 2 87 , 19 , 20
Carvalho, 099, , 67 , 2 87 , 19 , 20
Dickson, 099, , 67 , 2 87 , 19 , 20
Thavarajasoorier, 099, , 67 , 2 87 , 19 , 20
Willert, 099, , 67 , 2 87 , 19 , 20

Ashe, 100, , 85 , 0 100 , 23 , 16
Carvalho, 100, , 85 , 0 100 , 23 , 16
Dickson, 100, , 85 , 0 100 , 23 , 16
Thavarajasoorier, 100, , 85 , 0 100 , 23 , 16
Willert, 100, , 85 , 0 100 , 23 , 16

Ashe, 101, , 69 , 5 88 , 12 , 21
Carvalho, 101, , 69 , 5 88 , 12 , 21
Dickson, 101, , 69 , 5 88 , 12 , 21
Thavarajasoorier, 101, , 69 , 5 88 , 12 , 21
Willert, 101, , 69 , 5 88 , 12 , 21

Ashe, 102, , 111 , 0 114 , 23 , 26
Carvalho, 102, , 111 , 0 114 , 23 , 26
Dickson, 102, , 111 , 0 114 , 23 , 26
